size,degree,seed,points,time
25,10,1,18,138
25,10,10,15,189
25,10,2,10,44
25,10,3,8,17
25,10,4,17,206
25,10,5,16,87
25,10,6,11,62
25,10,7,11,47
25,10,8,8,52
25,10,9,13,87
25,3,1,5,3
25,3,10,12,14
25,3,2,8,6
25,3,3,9,8
25,3,4,10,7
25,3,5,8,7
25,3,6,12,25
25,3,7,9,15
25,3,8,9,7
25,3,9,13,37
25,5,1,14,13
25,5,10,14,68
25,5,2,11,118
25,5,3,15,123
25,5,4,12,52
25,5,5,15,89
25,5,6,10,10
25,5,7,10,12
25,5,8,12,38
25,5,9,13,101
50,10,1,17,18018
50,10,10,15,10872
50,10,2,23,39413
50,10,3,22,129315
50,10,4,19,132493
50,10,5,17,72619
50,10,6,21,156520
50,10,7,25,19152
50,10,8,20,25565
50,10,9,18,19258
50,3,1,15,2138
50,3,10,18,7480
50,3,2,12,3211
50,3,3,17,13099
50,3,4,23,26307
50,3,5,17,7402
50,3,6,17,3224
50,3,7,16,3022
50,3,8,14,1341
50,3,9,16,1302
50,5,1,16,31578
50,5,10,10,5388
50,5,2,16,9337
50,5,3,18,6545
50,5,4,23,46937
50,5,5,17,36269
50,5,6,18,25877
50,5,7,15,2215
50,5,8,19,49278
50,5,9,16,16855
